pointid ,Lgbtqia2+ Practicality ,Lgbtqia2+ Inclusivity ,Lgbtqia2+ Aesthetics ,Lgbtqia2+ Accessibility ,Handicapped Practicality ,Handicapped Inclusivity ,Handicapped Aesthetics ,Handicapped Accessibility ,Elderly Female Practicality ,Elderly Female Inclusivity ,Elderly Female Aesthetics ,Elderly Female Accessibility ,Elderly Male Practicality ,Elderly Male Inclusivity ,Elderly Male Aesthetics ,Elderly Male Accessibility ,Young Male Practicality ,Young Male Inclusivity ,Young Male Aesthetics ,Young Male Accessibility ,Young Female Practicality ,Young Female Inclusivity ,Young Female Aesthetics ,Young Female Accessibility ,Group Practicality ,Group Inclusivity  ,Group Aesthetics   ,Group Accessibility
i07     ,                   2.5 ,                  1.5 ,                 3.0 ,                    2.0 ,                     2.0 ,                    2.0 ,                   3.0 ,                      2.0 ,                        2.3 ,                       1.7 ,                      2.0 ,                         2.3 ,                        2 ,                       2 ,                      1 ,                         1 ,                      2 ,                     2 ,                    2 ,                       1 ,                      2.1 ,                     1.9 ,                    2.0 ,                       1.6 ,               2.0 ,              1.0 ,             2.0 ,                1.0
i02     ,                   3.0 ,                  2.5 ,                 2.0 ,                    3.0 ,                     3.0 ,                    2.0 ,                   2.0 ,                      3.0 ,                        2.7 ,                       2.3 ,                      2.0 ,                         3.7 ,                        2 ,                       2 ,                      2 ,                         3 ,                      2 ,                     2 ,                    2 ,                       3 ,                      2.4 ,                     2.1 ,                    2.0 ,                       3.2 ,               2.5 ,              2.5 ,             2.2 ,                2.5
i14     ,                   3.5 ,                  4.0 ,                 4.0 ,                    3.0 ,                     2.0 ,                    3.0 ,                   2.0 ,                      2.0 ,                        3.0 ,                       2.3 ,                      2.7 ,                         2.3 ,                        2 ,                       3 ,                      2 ,                         3 ,                      3 ,                     3 ,                    4 ,                       3 ,                      2.5 ,                     2.8 ,                    2.7 ,                       2.6 ,               3.2 ,              2.5 ,             2.8 ,                2.4
i13     ,                   3.0 ,                  2.5 ,                 2.0 ,                    3.0 ,                     3.0 ,                    2.0 ,                   1.0 ,                      3.0 ,                        2.0 ,                       2.3 ,                      2.3 ,                         3.0 ,                        3 ,                       1 ,                      3 ,                         3 ,                      2 ,                     2 ,                    2 ,                       2 ,                      2.5 ,                     1.8 ,                    2.1 ,                       2.8 ,               3.0 ,              2.0 ,             1.5 ,                2.8
i05     ,                   3.5 ,                  3.0 ,                 3.5 ,                    2.5 ,                     2.0 ,                    2.0 ,                   2.0 ,                      2.0 ,                        1.7 ,                       1.7 ,                      3.3 ,                         1.7 ,                        3 ,                       3 ,                      3 ,                         3 ,                      3 ,                     2 ,                    2 ,                       2 ,                      2.4 ,                     2.2 ,                    2.6 ,                       2.2 ,               1.7 ,              1.7 ,             3.3 ,                1.7
i12     ,                   2.0 ,                  1.5 ,                 2.5 ,                    1.5 ,                     2.0 ,                    2.0 ,                   2.0 ,                      3.0 ,                        1.7 ,                       1.7 ,                      1.7 ,                         2.3 ,                        2 ,                       2 ,                      2 ,                         2 ,                      1 ,                     1 ,                    1 ,                       1 ,                      1.7 ,                     1.7 ,                    1.7 ,                       2.1 ,               1.0 ,              1.0 ,             1.0 ,                1.0
i20     ,                   3.5 ,                  1.0 ,                 1.0 ,                    1.5 ,                     4.0 ,                    2.0 ,                   1.0 ,                      4.0 ,                        2.0 ,                       2.3 ,                      1.3 ,                         2.7 ,                        3 ,                       2 ,                      2 ,                         3 ,                      2 ,                     1 ,                    1 ,                       1 ,                      2.8 ,                     1.8 ,                    1.3 ,                       2.7 ,               2.6 ,              2.0 ,             1.9 ,                2.6
i04     ,                   2.5 ,                  3.0 ,                 3.0 ,                    3.5 ,                     1.0 ,                    2.0 ,                   1.0 ,                      1.0 ,                        2.7 ,                       3.0 ,                      2.3 ,                         3.0 ,                        2 ,                       3 ,                      2 ,                         3 ,                      3 ,                     3 ,                    3 ,                       2 ,                      2.2 ,                     2.8 ,                    2.1 ,                       2.3 ,               3.0 ,              3.0 ,             3.0 ,                4.0
i03     ,                   3.5 ,                  2.0 ,                 1.5 ,                    3.0 ,                     2.0 ,                    1.0 ,                   2.0 ,                      3.0 ,                        2.7 ,                       2.7 ,                      1.7 ,                         3.0 ,                        2 ,                       1 ,                      1 ,                         2 ,                      2 ,                     2 ,                    2 ,                       2 ,                      2.2 ,                     1.7 ,                    1.7 ,                       2.5 ,               2.5 ,              2.8 ,             1.8 ,                3.0
i15     ,                   3.5 ,                  2.0 ,                 1.5 ,                    2.0 ,                     3.0 ,                    2.0 ,                   1.0 ,                      3.0 ,                        2.7 ,                       2.3 ,                      1.7 ,                         2.7 ,                        3 ,                       1 ,                      1 ,                         2 ,                      2 ,                     2 ,                    1 ,                       2 ,                      2.7 ,                     1.8 ,                    1.2 ,                       2.4 ,               2.5 ,              2.3 ,             1.3 ,                2.8
